f[Hz] 	 GabsStart 	 GphiStart 	 GabsFit 	 GphiFit
860.0 	 0.002973311482395369 	 79.72349815761667 	 0.004128983025410535 	 80.2454526055757
861.0 	 0.002988750668315426 	 79.66955222233904 	 0.0041578444736363445 	 80.17659503539404
862.0 	 0.003004326186845708 	 79.61512054527638 	 0.004187066348424052 	 80.10686295875863
863.0 	 0.0030200398387402318 	 79.5601965294528 	 0.004216655368097323 	 80.03623968020581
864.0 	 0.0030358934557450246 	 79.5047734599105 	 0.004246618415330053 	 79.96470808233624
865.0 	 0.0030518889012482783 	 79.4488445011028 	 0.004276962542081586 	 79.89225061258384
866.0 	 0.0030680280709463547 	 79.39240269421914 	 0.00430769497470575 	 79.81884926949101
867.0 	 0.0030843128935260857 	 79.33544095443968 	 0.00433882311924066 	 79.74448558846943
868.0 	 0.003100745331363784 	 79.27795206811756 	 0.0043703545668864596 	 79.66914062702332
869.0 	 0.0031173273812414434 	 79.21992868988673 	 0.004402297099678589 	 79.59279494941254
870.0 	 0.003134061075080585 	 79.16136333969291 	 0.00443465869636444 	 79.51542861073042
871.0 	 0.0031509484806942598 	 79.10224839974529 	 0.004467447538491667 	 79.4370211403711
872.0 	 0.003167991702557666 	 79.04257611138686 	 0.004500672016716653 	 79.35755152485888
873.0 	 0.0031851928825979274 	 78.98233857188052 	 0.004534340737342177 	 79.27699819001151
874.0 	 0.003202554201003541 	 78.9215277311086 	 0.004568462529093582 	 79.19533898240769
875.0 	 0.00322007787705406 	 78.86013538818301 	 0.004603046450143288 	 79.11255115012723
876.0 	 0.0032377661699705415 	 78.7981531879633 	 0.004638101795393773 	 79.0286113227313
877.0 	 0.00325562137978735 	 78.73557261747976 	 0.004673638104029722 	 78.9434954904481
878.0 	 0.0032736458482459266 	 78.67238500225854 	 0.0047096651673505146 	 78.85717898252763
879.0 	 0.0032918419597110934 	 78.60858150254582 	 0.00474619303689458 	 78.76963644472754
880.0 	 0.003310212142110556 	 78.5441531094277 	 0.004783232032867858 	 78.68084181588979
881.0 	 0.0033287588678982266 	 78.47909064084277 	 0.004820792752888949 	 78.59076830356615
882.0 	 0.00334748465504205 	 78.4133847374837 	 0.004858886081064317 	 78.49938835864775
883.0 	 0.0033663920680370094 	 78.34702585858439 	 0.004897523197407246 	 78.40667364895252
884.0 	 0.003385483718943999 	 78.28000427758914 	 0.004936715587615079 	 78.31259503172082
885.0 	 0.0034047622684552996 	 78.21231007770012 	 0.004976475053219749 	 78.21712252496789
886.0 	 0.0034242304269874306 	 78.1439331472988 	 0.0050168137221274734 	 78.12022527763823
887.0 	 0.003443890955802078 	 78.07486317523784 	 0.005057744059563891 	 78.02187153850495
888.0 	 0.0034637466681559366 	 78.00508964599896 	 0.005099278879441902 	 77.9220286237533
889.0 	 0.0034838004304802743 	 77.93460183471237 	 0.005141431356170166 	 77.82066288318444
890.0 	 0.003504055163591013 	 77.86338880203344 	 0.00518421503692084 	 77.7177396649729
891.0 	 0.0035245138439302316 	 77.79143938887186 	 0.005227643854376177 	 77.61322327890608
892.0 	 0.003545179504839913 	 77.71874221096849 	 0.005271732139974274 	 77.50707695803187
893.0 	 0.0035660552378689145 	 77.64528565331472 	 0.005316494637675297 	 77.3992628186349
894.0 	 0.0035871441941140144 	 77.57105786440947 	 0.005361946518270205 	 77.28974181845874
895.0 	 0.0036084495855960397 	 77.49604675034811 	 0.005408103394255186 	 77.1784737130861
896.0 	 0.003629974686672021 	 77.42023996873795 	 0.005454981335295746 	 77.06541701038466
897.0 	 0.003651722835484439 	 77.34362492243432 	 0.005502596884305666 	 76.95052892292024
898.0 	 0.0036736974354485237 	 77.26618875309151 	 0.005550967074166786 	 76.83376531823481
899.0 	 0.0036959019567787093 	 77.1879183345221 	 0.005600109445116836 	 76.71508066687966
900.0 	 0.003718339938055359 	 77.10880026585819 	 0.005650042062833654 	 76.59442798808892
901.0 	 0.003741014987832821 	 77.02882086450822 	 0.005700783537245057 	 76.47175879297151
902.0 	 0.0037639307862900114 	 76.94796615890196 	 0.00575235304209496 	 76.34702302509298
903.0 	 0.003787091086924665 	 76.86622188101688 	 0.005804770335297414 	 76.22016899831134
904.0 	 0.0038104997182925216 	 76.78357345867799 	 0.005858055780111531 	 76.09114333172279
905.0 	 0.0038341605857926 	 76.70000600762394 	 0.005912230367171206 	 75.9598908815659
906.0 	 0.0038580776734999126 	 76.61550432333088 	 0.005967315737405116 	 75.82635466992275
907.0 	 0.003882255046046842 	 76.530052872586 	 0.006023334205883281 	 75.69047581004776
908.0 	 0.003906696850554593 	 76.44363578480193 	 0.0060803087866280895 	 75.55219342814347
909.0 	 0.0039314073186160065 	 76.35623684306316 	 0.006138263218428455 	 75.41144458139348
910.0 	 0.003956390768331151 	 76.26783947489511 	 0.006197221991697206 	 75.26816417205106
911.0 	 0.003981651606397154 	 76.17842674274614 	 0.0062572103764128644 	 75.12228485736948
912.0 	 0.004007194330253663 	 76.08798133417237 	 0.006318254451187877 	 74.97373695514942
913.0 	 0.004033023530285461 	 75.99648555171525 	 0.0063803811335065245 	 74.82244834466373
914.0 	 0.00405914389208372 	 75.90392130246046 	 0.006443618211176439 	 74.66834436270689
915.0 	 0.00408556019876751 	 75.81027008726751 	 0.006507994375038626 	 74.51134769450128
916.0 	 0.004112277333367003 	 75.71551298965798 	 0.006573539252981124 	 74.35137825917676
917.0 	 0.00413930028127012 	 75.61963066435034 	 0.006640283445302294 	 74.18835308952328
918.0 	 0.004166634132734119 	 75.5226033254291 	 0.006708258561469477 	 74.02218620569894
