# Ua      If      Iv     y
2.00e3 92.2e-3 102e-3 21.8e-2
2.00e3 92.2e-3 88.1e-3 18.7e-2
2.00e3 92.2e-3 78.2e-3 16.2e-2
2.00e3 92.2e-3 67.9e-3 14.0e-2
2.00e3 92.2e-3 62.1e-3 12.6e-2
2.00e3 92.2e-3 52.8e-3 10.6e-2
2.00e3 92.2e-3 45.3e-3 9.10e-2
2.00e3 92.2e-3 38.2e-3 7.70e-2
2.00e3 92.2e-3 33.2e-3 6.70e-2
2.00e3 92.2e-3 28.1e-3 5.20e-2
2.00e3 92.2e-3 23.9e-3 4.80e-2
