# Ua      If      Iv     y
1.50e3 79.4e-3 62.7e-3 15.4e-2 
1.55e3 81.6e-3 62.8e-3 14.9e-2
1.60e3 83.9e-3 62.9e-3 14.4e-2
1.65e3 83.6e-3 62.2e-3 14.1e-2
1.70e3 86.9e-3 62.8e-3 13.8e-2
1.75e3 88.2e-3 62.7e-3 13.7e-2
1.80e3 88.7e-3 62.9e-3 13.5e-2
1.85e3 89.1e-3 62.8e-3 13.4e-2
1.90e3 91.5e-3 62.7e-3 13.2e-2
1.95e3 91.3e-3 62.8e-3 13.0e-2
2.00e3 94.3e-3 63.0e-3 12.8e-2
