# um  0.3*mV
0.593 0.1
0.678 0.2
0.724 0.3
0.768 0.4
0.803 0.5
0.832 0.6
0.848 0.7
0.860 0.8
0.869 0.9
0.879 1.0
0.884 1.1
0.893 1.2
0.900 1.3
0.908 1.4
0.917 1.5
0.921 1.6
0.928 1.7
0.938 1.8
0.943 1.9
0.948 2.0
0.960 2.1
0.975 2.2
1.00 2.18
1.02 2.1
1.03 1.95
1.04 1.7
1.05 1.35
1.06 0.98
1.073 0.81
1.085 0.62
1.10 0.45
1.11 0.35
1.16 0.03
