y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
68.9100998890122,452.369589345172,374.93353243079974,1.8506980415085297,0.11936159394117957,28.296870372135828,439.0,0.0,0,0
85.04160769883951,435.402490801019,1470.1888680111158,2.1325321049404518,0.18854363504320426,86.55513290300371,1865.0,0.0,0,1
93.66362252663623,408.8523592085236,273.39770344843,1.760379092976665,0.05029372408445751,24.135565905645265,291.0,0.0,0,2
123.22598056854984,172.29758906081324,1156.4265112377275,3.036007965812651,0.3490329223757983,34.122696625222616,1608.0,0.0,0,3
133.6067621876638,256.59627817578195,4763.029092345098,4.881560693765821,0.15135750915184035,46.606610024694305,11752.0,0.0,0,4
155.4717342702012,456.20217183008623,1302.9044284581953,3.27821998736079,0.4022070858205638,34.95495751852073,1892.0,0.0,0,5
163.11153358681875,353.3263624841572,656.6538448122109,2.427791143248215,0.23297473715546452,31.62591394532828,831.0,0.0,0,6
177.16493656286045,476.5663206459054,360.7850972447318,1.7929118416621377,0.151414536253997,29.961392158732053,422.0,0.0,0,7
187.73649635036497,335.8897810218978,570.0987119092072,2.378737934406382,0.24314747109677615,26.216218138890547,719.0,0.0,0,8
500.48056994818654,460.3672279792746,642.5054096261429,4.236300688491796,0.4299452064434573,29.12913126543394,841.0,0.0,0,9
487.6596958174905,445.6126425855513,875.5384597496144,4.142598420436599,0.4038763626533915,29.12913126543394,1615.0,0.0,0,10
477.97540353574175,469.7740199846272,541.3857110904222,3.397788311714274,0.40901562487400583,27.880739925486772,712.0,0.0,0,11
471.5678013392857,435.04994419642856,1491.4115207902178,4.0071086387640085,0.274618385115698,31.209783498679222,2669.0,0.0,0,12
440.2555,360.9055,832.2608932981126,4.151987475896333,0.5313679964663289,25.80008769224149,1344.0,0.0,0,13
435.1972946222369,295.87462883536784,3783.874151379869,3.506698120127777,0.15957404310471632,74.48734995018107,6707.0,0.0,0,14
435.41822800889173,477.9418863131153,3931.184329493635,4.353492287689645,0.4906863748153755,69.4937845903924,6492.0,0.0,0,15
366.3249575551783,450.21969439728355,1225.5041653814708,2.8461393742859435,0.16135961856319692,34.95495751852073,1714.0,0.0,0,16
361.6782296650718,337.0693779904306,347.88505339861103,1.8518709019044968,0.08407221732435052,26.216218138890547,415.0,0.0,0,17
350.31062124248496,520.1382765531063,207.6490928778791,1.6869177166553,0.1459222642874618,19.974261439154702,223.0,0.0,0,18
343.52962535071794,442.04274632777685,2521.334376246632,3.0755733896614994,0.23054567385391275,77.40026307672447,3734.0,0.0,0,19
335.7913043478261,464.57065217391306,382.8400109171318,3.309242656035024,0.6830078325811426,22.054913672399984,474.0,0.0,0,20
338.41675248884314,298.1925849639547,1212.187991088701,4.603577766548588,0.09783111081791201,25.80008769224149,2024.0,0.0,0,21
318.2355568790947,448.394877903514,1397.366039847531,3.7973141820268226,0.264025800229551,25.80008769224149,2269.0,0.0,0,22
316.00875538793105,381.5428340517241,3089.352435922594,2.8104398585054016,0.14982448005020862,99.0390463024754,4537.0,0.0,0,23
287.34507845934377,258.0015691868759,2917.074431009885,4.952441435987927,0.1294867543375112,26.632348585539603,6505.0,0.0,0,24
279.3562215477997,407.1284142640364,2193.8397147338246,4.830491638424837,0.2897807006158027,33.70656617857356,4136.0,0.0,0,25
276.76728723404256,467.9561170212766,312.93009588009033,3.9853454961150176,0.6035275908137118,18.725870099207533,403.0,0.0,0,26
258.0051746442432,110.01811125485123,321.66883525972054,1.7144089156739424,0.020050056776740183,28.713000818784884,380.0,0.0,0,27
245.31443755535872,488.197913591182,4228.301468401061,3.6075569406472034,0.34223541465390245,106.11326389550935,9962.0,0.0,0,28
229.4993894993895,306.63614163614164,340.8108358055771,1.816018804397217,0.07147705564360661,28.296870372135828,401.0,0.0,0,29
223.38194963849415,456.7850909997507,1669.0992215093647,3.439182035607649,0.13594387705831146,34.122696625222616,2652.0,0.0,0,30
207.10909606120714,402.88296967979596,1468.5243462245196,3.9105179645311616,0.39309717188344667,31.62591394532828,2325.0,0.0,0,31
534.6203414996288,300.1907943578322,2802.6385581813943,2.996211416235428,0.1292454744402572,81.97769798986408,4306.0,0.0,0,32
556.0,271.68930041152265,202.23939707144135,1.6424161665660537,0.11350114390503167,20.39039188580376,217.0,0.0,0,33
562.5,292.0,179.38456234351403,1.653330740678061,0.1514124289508123,18.211630694773,192.0,0.0,1,34
494.2146624472574,463.6650843881857,863.2312949322402,5.133245656547535,0.6335929909833986,25.040992205312875,1243.0,0.0,1,9
105.88950276243094,430.1270718232044,247.22288668154346,1.6802393936250581,0.11281930921967444,24.130410670574225,263.0,0.0,1,35
85.66988869361452,433.35207967193907,1554.3626797988754,2.2467186252703066,0.19189480566875108,82.40762889384783,1986.0,0.0,1,1
71.09875444839858,451.3389679715302,511.7468225231213,1.9098918379688976,0.03611508387005279,35.057389087438025,629.0,0.0,1,0
543.3407022106632,300.255433772989,2450.8302007490765,3.284486358763963,0.2741512125770904,61.9195443622282,3852.0,0.0,1,32
536.7692307692307,275.2522746071133,1651.3396132485418,3.789905766404282,0.26531314150819085,29.593899879006123,2789.0,0.0,1,36
179.60964230171072,473.50855365474337,585.5039268369519,2.077802404099609,0.029816329576817187,35.057389087438025,718.0,0.0,1,7
198.6689655172414,404.6229885057471,990.2574190282819,3.46675508286895,0.4688474186056323,29.593899879006123,1429.0,0.0,1,31
313.1339845458522,380.73582154833065,3122.8393733862,2.595009060130747,0.0962296453614297,116.09914567917787,4497.0,0.0,1,23
