1.1342769E+0	-1.7154963E-2	-2.2910537E-2	1.4111400E-1	2.1886082E-3	-1.8086285E-2	-3.5800042E-2	-2.7641656E-2	-2.3860486E-2	0.0000000E+0	0.0000000E+0
2.8936038E+0	-1.7294661E-2	-2.3972244E-2	1.2108126E-1	-6.3329939E-4	-1.7816202E-2	-3.5781415E-2	-2.6011841E-2	-2.3096801E-2	0.0000000E+0	0.0000000E+0
4.6503415E+0	-1.7629937E-2	-2.4922194E-2	1.0503457E-1	-2.6915224E-3	-1.7993153E-2	-3.5781415E-2	-2.4912880E-2	-2.2398309E-2	0.0000000E+0	0.0000000E+0
6.4066744E+0	-1.7518179E-2	-2.5769697E-2	9.1139233E-2	-5.3085390E-3	-1.7965214E-2	-3.5772102E-2	-2.4084003E-2	-2.1960588E-2	0.0000000E+0	0.0000000E+0
8.1624761E+0	-1.7685817E-2	-2.6505442E-2	7.9609458E-2	-7.2922562E-3	-1.8300490E-2	-3.5762789E-2	-2.3478644E-2	-2.1951274E-2	0.0000000E+0	0.0000000E+0
9.9210849E+0	-1.7713756E-2	-2.7446078E-2	6.9728125E-2	-9.1549015E-3	-1.8812717E-2	-3.5772102E-2	-2.3264439E-2	-2.1718444E-2	0.0000000E+0	0.0000000E+0
1.1679815E+1	-1.7685817E-2	-2.8312208E-2	6.1141331E-2	-1.1520461E-2	-1.9371511E-2	-3.5827982E-2	-2.2836031E-2	-2.1355228E-2	0.0000000E+0	0.0000000E+0
1.3436647E+1	-1.7276035E-2	-2.9085206E-2	5.3644183E-2	-1.3113023E-2	-1.9930304E-2	-3.5809355E-2	-2.2808091E-2	-2.1159650E-2	0.0000000E+0	0.0000000E+0
1.5193988E+1	-1.7136336E-2	-2.9858204E-2	4.6771022E-2	-1.5981496E-2	-2.0591543E-2	-3.5772102E-2	-2.2416936E-2	-2.0870940E-2	0.0000000E+0	0.0000000E+0
1.6953343E+1	-1.6791747E-2	-3.0677767E-2	4.0614980E-2	-1.8803404E-2	-2.0936133E-2	-3.5809355E-2	-2.2388996E-2	-2.0405279E-2	0.0000000E+0	0.0000000E+0
1.8709444E+1	-1.6521663E-2	-3.1422826E-2	3.5446139E-2	-2.0870940E-2	-2.1597372E-2	-3.5949054E-2	-2.2221358E-2	-2.0340086E-2	0.0000000E+0	0.0000000E+0
2.0466651E+1	-1.6186387E-2	-3.2037498E-2	3.0323865E-2	-2.2090973E-2	-2.1690504E-2	-3.5893174E-2	-2.2025780E-2	-2.0824374E-2	0.0000000E+0	0.0000000E+0
2.2223288E+1	-1.6018749E-2	-3.2717364E-2	2.5220217E-2	-2.2603200E-2	-2.1960588E-2	-3.5930427E-2	-2.2081660E-2	-2.0507724E-2	0.0000000E+0	0.0000000E+0
2.3980062E+1	-1.5646220E-2	-3.3434482E-2	2.1113084E-2	-2.3338945E-2	-2.2351743E-2	-3.5930427E-2	-2.1941961E-2	-2.0032750E-2	0.0000000E+0	0.0000000E+0
2.5736250E+1	-1.5413390E-2	-3.3853578E-2	1.7108397E-2	-2.4717303E-2	-2.2631140E-2	-3.5930427E-2	-2.1941961E-2	-1.9855798E-2	0.0000000E+0	0.0000000E+0
2.7492142E+1	-1.5096740E-2	-3.4505503E-2	1.3234095E-2	-2.5546180E-2	-2.2919850E-2	-3.5995620E-2	-2.1737070E-2	-1.9529836E-2	0.0000000E+0	0.0000000E+0
2.9250341E+1	-1.4873222E-2	-3.4924599E-2	1.0253862E-2	-2.5397168E-2	-2.3320319E-2	-3.5949054E-2	-2.1662564E-2	-1.9297005E-2	0.0000000E+0	0.0000000E+0
3.1008986E+1	-1.4668331E-2	-3.5343694E-2	7.2084372E-3	-2.5210904E-2	-2.3618342E-2	-3.6023559E-2	-2.1662564E-2	-1.9101427E-2	0.0000000E+0	0.0000000E+0
3.2766646E+1	-1.4081598E-2	-3.5613777E-2	4.3865296E-3	-2.5136398E-2	-2.3795293E-2	-3.5883861E-2	-2.1504240E-2	-1.8831344E-2	0.0000000E+0	0.0000000E+0
3.4524093E+1	-1.4118851E-2	-3.6032873E-2	2.1047891E-3	-2.4838375E-2	-2.3813920E-2	-3.6079439E-2	-2.1681191E-2	-1.8719585E-2	0.0000000E+0	0.0000000E+0
3.6281183E+1	-1.3848768E-2	-3.6377462E-2	1.8626453E-5	-2.4493785E-2	-2.3925678E-2	-3.5986306E-2	-2.1690504E-2	-1.8300490E-2	0.0000000E+0	0.0000000E+0
3.8038626E+1	-1.3653190E-2	-3.6684798E-2	-1.9185246E-3	-2.4260955E-2	-2.3925678E-2	-3.5902487E-2	-2.1820889E-2	-1.8216671E-2	0.0000000E+0	0.0000000E+0
3.9796301E+1	-1.3587997E-2	-3.7001448E-2	-3.8929286E-3	-2.4037437E-2	-2.3748727E-2	-3.5976993E-2	-2.1634625E-2	-1.7974527E-2	0.0000000E+0	0.0000000E+0
4.1553358E+1	-1.3718382E-2	-3.7327411E-2	-5.9045855E-3	-2.4149196E-2	-2.3711474E-2	-3.6023559E-2	-2.1448360E-2	-1.7881394E-2	0.0000000E+0	0.0000000E+0
4.3310313E+1	-1.4342369E-2	-3.7569555E-2	-7.9348688E-3	-2.4354087E-2	-2.3767354E-2	-3.6563726E-2	-2.1029265E-2	-1.8198044E-2	0.0000000E+0	0.0000000E+0
4.5066422E+1	-1.5180559E-2	-3.7886205E-2	-9.6112495E-3	-2.4894254E-2	-2.4037437E-2	-3.6805870E-2	-2.0712615E-2	-1.8756838E-2	0.0000000E+0	0.0000000E+0
