#Vystupni charakteristika tranzistoru
#napeti Ud (V) proud Id (mA) napeti Ug (V)
0.0 0.026782178599999998 3.8
0.1 28.1750175 3.8
0.2 32.825200200000005 3.8
0.30000000000000004 34.351495400000005 3.8
0.4 35.2406166 3.8
0.5 35.744441699999996 3.8
0.6 36.1621456 3.8
0.7 36.4339005 3.8
0.7999999999999999 36.6942367 3.8
0.8999999999999999 36.8342641 3.8
0.9999999999999999 37.0403983 3.8
1.0999999999999999 37.1427339 3.8
1.2 37.32834690000001 3.8
1.3 37.417906 3.8
1.4000000000000001 37.5419438 3.8
1.5000000000000002 37.6369589 3.8
1.6000000000000003 37.739438899999996 3.8
1.7000000000000004 37.8230443 3.8
1.8000000000000005 37.946752000000004 3.8
1.9000000000000006 38.021060000000006 3.8
2.0000000000000004 38.1103255 3.8
2.1000000000000005 38.141898600000005 3.8
2.2000000000000006 38.2522037 3.8
2.3000000000000007 38.3230785 3.8
2.400000000000001 38.4272327 3.8
2.500000000000001 38.4578632 3.8
2.600000000000001 38.5406086 3.8
2.700000000000001 38.6032158 3.8
2.800000000000001 38.6584337 3.8
2.9000000000000012 38.7332623 3.8
3.0000000000000013 38.7863795 3.8
3.1000000000000014 38.865180300000006 3.8
3.2000000000000015 38.903784900000005 3.8
3.3000000000000016 38.9891127 3.8
3.4000000000000017 39.0269467 3.8
3.5000000000000018 39.110052200000005 3.8
3.600000000000002 39.144125 3.8
3.700000000000002 39.198859000000006 3.8
3.800000000000002 39.2240129 3.8
3.900000000000002 39.3065542 3.8
4.000000000000002 39.3448285 3.8
4.100000000000001 39.428509700000006 3.8
4.200000000000001 39.4585255 3.8
4.300000000000001 39.5148236 3.8
4.4 39.5533158 3.8
4.5 39.607254000000005 3.8
4.6 39.6560963 3.8
4.699999999999999 39.7045991 3.8
4.799999999999999 39.7484923 3.8
4.899999999999999 39.7892549 3.8
4.999999999999998 39.832022 3.8
5.099999999999998 39.906843800000004 3.8
5.1999999999999975 39.9203496 3.8
5.299999999999997 40.0055283 3.8
5.399999999999997 40.0367734 3.8
5.4999999999999964 40.079012999999996 3.8
5.599999999999996 40.1522225 3.8
5.699999999999996 40.180346300000004 3.8
5.799999999999995 40.222446000000005 3.8
5.899999999999995 40.293203899999995 3.8
5.999999999999995 40.3490754 3.8
6.099999999999994 40.3795179 3.8
6.199999999999994 40.4614789 3.8
6.299999999999994 40.458969999999994 3.8
6.399999999999993 40.5300054 3.8
6.499999999999993 40.5589823 3.8
6.5999999999999925 40.639720999999994 3.8
6.699999999999992 40.635728199999996 3.8
6.799999999999992 40.758130900000005 3.8
6.8999999999999915 40.7305185 3.8
6.999999999999991 40.8479331 3.8
7.099999999999991 40.8563819 3.8
7.19999999999999 40.9070131 3.8
7.29999999999999 40.9582565 3.8
7.39999999999999 41.0141831 3.8
7.499999999999989 41.0625414 3.8
7.599999999999989 41.137012299999995 3.8
7.699999999999989 41.1434636 3.8
7.799999999999988 41.2132491 3.8
7.899999999999988 41.2412238 3.8
7.999999999999988 41.3078192 3.8
8.099999999999987 41.334356 3.8
8.199999999999987 41.4065152 3.8
8.299999999999986 41.4212181 3.8
8.399999999999986 41.487558899999996 3.8
8.499999999999986 41.5464737 3.8
8.599999999999985 41.5614885 3.8
8.699999999999985 41.607152199999994 3.8
8.799999999999985 41.694278000000004 3.8
8.899999999999984 41.7431202 3.8
8.999999999999984 41.7666756 3.8
9.099999999999984 41.8584822 3.8
9.199999999999983 41.8490702 3.8
9.299999999999983 41.926981100000006 3.8
9.399999999999983 41.9741676 3.8
9.499999999999982 42.0381944 3.8
9.599999999999982 42.0432169 3.8
9.699999999999982 42.0963249 3.8
9.799999999999981 42.150464899999996 3.8
9.89999999999998 42.178552 3.8
9.99999999999998 42.2396731 3.8
10.09999999999998 42.320326900000005 3.8
10.19999999999998 42.3538723 3.8
10.29999999999998 42.3918141 3.8
10.399999999999979 42.4101291 3.8
10.499999999999979 42.4687343 3.8
10.599999999999978 42.505664700000004 3.8
10.699999999999978 42.5488699 3.8
10.799999999999978 42.6140755 3.8
10.899999999999977 42.677544999999995 3.8
10.999999999999977 42.7407163 3.8
11.099999999999977 42.7484359 3.8
11.199999999999976 42.829631 3.8
11.299999999999976 42.874762499999996 3.8
11.399999999999975 42.9523822 3.8
11.499999999999975 42.947586799999996 3.8
11.599999999999975 43.0121594 3.8
11.699999999999974 43.0473996 3.8
11.799999999999974 43.1421578 3.8
11.899999999999974 43.156273600000006 3.8
11.999999999999973 43.241489 3.8
12.099999999999973 43.2834992 3.8
12.199999999999973 43.347090300000005 3.8
12.299999999999972 43.389263400000004 3.8
12.399999999999972 43.4802283 3.8
12.499999999999972 43.4801159 3.8
12.599999999999971 43.548151600000004 3.8
12.69999999999997 43.567920599999994 3.8
12.79999999999997 43.6338669 3.8
12.89999999999997 43.690837 3.8
12.99999999999997 43.7316157 3.8
13.09999999999997 43.7764744 3.8
13.199999999999969 43.828571 3.8
13.299999999999969 43.8999068 3.8
13.399999999999968 43.916634699999996 3.8
13.499999999999968 43.9946695 3.8
13.599999999999968 44.039347 3.8
13.699999999999967 44.076761399999995 3.8
13.799999999999967 44.1409372 3.8
13.899999999999967 44.1820508 3.8
13.999999999999966 44.229464300000004 3.8
14.099999999999966 44.2890992 3.8
14.199999999999966 44.3360976 3.8
14.299999999999965 44.4035553 3.8
14.399999999999965 44.4474301 3.8
14.499999999999964 44.4941143 3.8
14.599999999999964 44.581345600000006 3.8
14.699999999999964 44.6148704 3.8
14.799999999999963 44.672539900000004 3.8
